error,uuid,title,normalized_job_title,parent_uuid
,c3b5ebd7b88c20786f11e87846c7d6ae,SCADA Operator (Supervisory Control and Data Acquisition Operator),scada operator supervisory control and data acquisition operator,de928511e43820fde0dbc35576c8c8c0
,dfea9e8bc3c565ff9e64d4288b1c423d,Customer Data Technician,customer data technician,325e2251e20170928426473156bd3c48
,a50d1f4be063829950e6ddb02c91379f,Database Programmer,database programmer,b90ca4df5690002377a7b0f1f3d40781
,af6630abd24c19f77cfba94aa4e3b7e1,Data Specialist,data specialist,430aaf9809812ccc822ef42674765d0e
,901740e84d1a4760e440b039adac9df2,Data Processing Clerk,data processing clerk,bf88358c56bb6cbe7eabec38ae333d19
,f2ecf36d7eb0a4225974fc6c4f48cfcb,Voice and Data Technician,voice and data technician,325e2251e20170928426473156bd3c48
,f1fb62e4c97f4f5cd5001877cb94379e,Data Processor,data processor,344aba9dcfa11889b5ae926bfab624e8
,b9a57264eaada670703db113483ddfc3,Data Modeler,data modeler,b90ca4df5690002377a7b0f1f3d40781
,65b92572bca68ff9c49c930749fa348c,LiDAR Data Analyst,lidar data analyst,fc4ee61f733cdbb2c04f4693075a202d
,59dab7d0a3ee97d939aa8b1a8deec857,Data Management Manager,data management manager,0b9dd32a367f4562ec77b993053d1910
,afea0e0169a98ee264db2ddb1c6e6a34,Data Processing Supervisor,data processing supervisor,3ffe9bc56a3fd00b02fbdc71c03976f9
,0facaffe51cc1998a5fbdbe5fd18fd98,Weight in Motion Field Data Collection Technician,weight in motion field data collection technician,6ef517fbbd53b14636c7fd4ce3f4621a
,ccf2c4daae069f054cada4c911819a17,Scientific Database Curator,scientific database curator,c4a063266888b400e8bc2d29c4d56580
,1426c924e1b6b162f6bfdd1906d98d0e,"Operations Officer, Afloat (Naval Tactical Data Systems)",operations officer afloat naval tactical data systems,e7fdd7f57854ea7d06958a8b65ce0148
,eb3d789747d52df803ce63fe37bf53e9,Data Analyst,data analyst,325e2251e20170928426473156bd3c48
,bdf4dcd92089bc17345de83f4d06090f,Data Entry Operator,data entry operator,bf88358c56bb6cbe7eabec38ae333d19
,5285758deb04c98f58cbae2747195f33,Data Reviewer,data reviewer,da412504dd7b130414b7bbfa2acd563b
,04c27c76b463a917800549cf88a59961,Data Communications Technician,data communications technician,3d83e056c0f0801e5e635bcfab433b3e
,631bc3a12ed11340fc94ebfffa8f5f4e,Database Technician,database technician,0581dd6e7d2b00f3d449837e60ab76a0
,b0fa6ede410f50b82ab74f5a705fe699,Analytical Data Miner,analytical data miner,9656fa2dc39e9643c00a45858e0117d0
,559a21f836c93876f31b60e6d10656a7,Data Analysis Assistant,data analysis assistant,325e2251e20170928426473156bd3c48
,c1fb1a01b78373ac2153c66fa08d16dc,Data Examination Clerk,data examination clerk,da412504dd7b130414b7bbfa2acd563b
,05bb9a333a66d6eb151e253623efe1c0,Data Entry Clerk,data entry clerk,bf88358c56bb6cbe7eabec38ae333d19
,4cee16550636e292b8d136486fce943b,Data Capture Clerk,data capture clerk,bf88358c56bb6cbe7eabec38ae333d19
